MsgID.STATE,1527347595.1426435,True,True
MsgID.GLOBAL_HOME,1527347595.1434665,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527347595.1437509,-122.3974483,37.7924828,5.0320000
MsgID.LOCAL_VELOCITY,1527347595.1437509,0.0000000,0.0100000,0.2000000
MsgID.LOCAL_POSITION,1527347595.1439776,0.2550450,0.4382102,-5.0332055
MsgID.LOCAL_VELOCITY,1527347595.1439776,0.0048102,0.0127648,0.2190339
MsgID.GLOBAL_POSITION,1527347595.1443088,-122.3974479,37.7924815,5.0210000
MsgID.LOCAL_VELOCITY,1527347595.1443088,0.0000000,0.0000000,0.2500000
MsgID.LOCAL_POSITION,1527347595.1445827,0.1176375,0.4754419,-5.0217056
MsgID.LOCAL_VELOCITY,1527347595.1445827,-0.0084137,0.0019653,0.2515241
MsgID.GLOBAL_POSITION,1527347595.1449082,-122.3974467,37.7924802,5.0180000
MsgID.LOCAL_VELOCITY,1527347595.1449082,0.0000000,0.0000000,0.2000000
MsgID.LOCAL_POSITION,1527347595.1453159,-0.0204516,0.5809128,-5.0182657
MsgID.LOCAL_VELOCITY,1527347595.1453159,-0.0013644,-0.0103224,0.1954732
MsgID.GLOBAL_POSITION,1527347595.1456885,-122.3974483,37.7924814,5.0130000
MsgID.LOCAL_VELOCITY,1527347595.1456885,0.0100000,-0.0200000,0.1700000
MsgID.LOCAL_POSITION,1527347595.1465318,0.1170851,0.4245975,-5.0123272
MsgID.LOCAL_VELOCITY,1527347595.1465318,0.0155190,-0.0238081,0.1742874
MsgID.STATE,1527347595.2754858,True,True
MsgID.GLOBAL_HOME,1527347599.7386215,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527347599.7391012,-122.3974504,37.7924815,5.0090000
MsgID.LOCAL_VELOCITY,1527347599.7391012,0.0100000,-0.0100000,0.0300000
MsgID.LOCAL_POSITION,1527347599.7401178,0.1113522,0.2615368,-5.0095892
MsgID.LOCAL_VELOCITY,1527347599.7401178,0.0134893,-0.0134214,0.0342876
MsgID.GLOBAL_POSITION,1527347599.7407033,-122.3974480,37.7924806,5.0050000
MsgID.LOCAL_VELOCITY,1527347599.7407033,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527347599.7411160,0.0151573,0.4793876,-5.0044069
MsgID.LOCAL_VELOCITY,1527347599.7411160,0.0036986,0.0039080,0.0159985
MsgID.GLOBAL_POSITION,1527347599.7415719,-122.3974480,37.7924800,4.9960000
MsgID.LOCAL_VELOCITY,1527347599.7415719,0.0000000,0.0000000,-0.0900000
MsgID.LOCAL_POSITION,1527347599.7418933,-0.0410219,0.4563513,-4.9970512
MsgID.LOCAL_VELOCITY,1527347599.7418933,0.0102158,-0.0013130,-0.0939746
MsgID.GLOBAL_POSITION,1527347599.7420926,-122.3974489,37.7924816,4.9940000
MsgID.LOCAL_VELOCITY,1527347599.7420926,0.0200000,0.0000000,-0.1200000
MsgID.LOCAL_POSITION,1527347599.7424037,0.1499430,0.3828084,-4.9946613
MsgID.LOCAL_VELOCITY,1527347599.7424037,0.0226211,-0.0031718,-0.1299275
MsgID.STATE,1527347599.7429645,True,True
MsgID.GLOBAL_HOME,1527347599.7441769,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527347599.7445767,-122.3974493,37.7924828,4.9950000
MsgID.LOCAL_VELOCITY,1527347599.7445767,0.0100000,0.0000000,-0.1700000
MsgID.LOCAL_POSITION,1527347599.7450204,0.2617392,0.3453074,-4.9953279
MsgID.LOCAL_VELOCITY,1527347599.7450204,0.0146816,0.0036508,-0.1657306
MsgID.GLOBAL_POSITION,1527347599.7454123,-122.3974489,37.7924809,4.9900000
MsgID.LOCAL_VELOCITY,1527347599.7454123,0.0000000,0.0000000,-0.1200000
MsgID.LOCAL_POSITION,1527347599.7455561,0.0436382,0.3960746,-4.9904652
MsgID.LOCAL_VELOCITY,1527347599.7455561,-0.0064102,0.0091153,-0.1391045
MsgID.GLOBAL_POSITION,1527347599.7466142,-122.3974485,37.7924808,4.9930000
MsgID.LOCAL_VELOCITY,1527347599.7466142,0.0000000,0.0000000,-0.2200000
MsgID.LOCAL_POSITION,1527347599.7470372,0.0450822,0.4081103,-4.9953866
MsgID.LOCAL_VELOCITY,1527347599.7470372,-0.0024169,0.0079790,-0.2359617
MsgID.GLOBAL_POSITION,1527347599.7473042,-122.3974504,37.7924821,5.0110000
MsgID.LOCAL_VELOCITY,1527347599.7473042,0.0000000,0.0000000,-0.1500000
MsgID.LOCAL_POSITION,1527347599.7474425,0.1963913,0.2564447,-5.0119333
MsgID.LOCAL_VELOCITY,1527347599.7474425,0.0075807,0.0076013,-0.1374358
MsgID.STATE,1527347599.7477186,True,True
MsgID.GLOBAL_HOME,1527347599.7478745,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527347599.7479880,-122.3974488,37.7924831,5.0040000
MsgID.LOCAL_VELOCITY,1527347599.7479880,0.0000000,0.0100000,-0.0300000
MsgID.LOCAL_POSITION,1527347599.7481174,0.3009410,0.4100761,-5.0036025
MsgID.LOCAL_VELOCITY,1527347599.7481174,-0.0015825,0.0141420,-0.0192090
MsgID.GLOBAL_POSITION,1527347599.7483034,-122.3974473,37.7924820,4.9980000
MsgID.LOCAL_VELOCITY,1527347599.7483034,-0.0100000,0.0000000,-0.0400000
MsgID.LOCAL_POSITION,1527347599.7484455,0.1701463,0.5339174,-4.9984360
MsgID.LOCAL_VELOCITY,1527347599.7484455,-0.0177934,0.0068302,-0.0577222
MsgID.GLOBAL_POSITION,1527347599.7486243,-122.3974487,37.7924811,5.0090000
MsgID.LOCAL_VELOCITY,1527347599.7486243,-0.0100000,0.0000000,-0.0500000
MsgID.LOCAL_POSITION,1527347599.7487459,0.0694954,0.3923395,-5.0109191
MsgID.LOCAL_VELOCITY,1527347599.7487459,-0.0174642,-0.0050044,-0.0629615
MsgID.GLOBAL_POSITION,1527347599.7488954,-122.3974501,37.7924801,5.0170000
MsgID.LOCAL_VELOCITY,1527347599.7488954,0.0000000,0.0000000,0.0100000
MsgID.LOCAL_POSITION,1527347599.7490156,-0.0380858,0.2966167,-5.0175948
MsgID.LOCAL_VELOCITY,1527347599.7490156,-0.0058581,-0.0003743,0.0195657
MsgID.STATE,1527347599.7492909,True,True
MsgID.GLOBAL_HOME,1527347599.7494469,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527347599.7495508,-122.3974472,37.7924813,5.0140000
MsgID.LOCAL_VELOCITY,1527347599.7495508,0.0000000,0.0000000,0.0400000
MsgID.LOCAL_POSITION,1527347599.7497072,0.1122576,0.5420486,-5.0139647
MsgID.LOCAL_VELOCITY,1527347599.7497072,0.0099511,0.0075876,0.0462756
MsgID.GLOBAL_POSITION,1527347599.7502356,-122.3974486,37.7924820,5.0110000
MsgID.LOCAL_VELOCITY,1527347599.7502356,0.0000000,0.0000000,0.0200000
MsgID.LOCAL_POSITION,1527347599.7505517,0.1744049,0.3966931,-5.0111451
MsgID.LOCAL_VELOCITY,1527347599.7505517,0.0062828,-0.0063943,0.0099095
MsgID.GLOBAL_POSITION,1527347599.7510607,-122.3974496,37.7924817,5.0080000
MsgID.LOCAL_VELOCITY,1527347599.7510607,0.0000000,0.0000000,0.0100000
MsgID.LOCAL_POSITION,1527347599.7513552,0.1445540,0.3329947,-5.0081720
MsgID.LOCAL_VELOCITY,1527347599.7513552,-0.0034917,-0.0029726,0.0109680
MsgID.GLOBAL_POSITION,1527347599.7519934,-122.3974484,37.7924817,5.0120000
MsgID.LOCAL_VELOCITY,1527347599.7519934,0.0000000,0.0000000,-0.0100000
MsgID.LOCAL_POSITION,1527347599.7523482,0.1429898,0.4331350,-5.0130291
MsgID.LOCAL_VELOCITY,1527347599.7523482,-0.0030785,0.0054209,-0.0269421
MsgID.STATE,1527347599.7532370,True,True
MsgID.GLOBAL_HOME,1527347599.7537446,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527347599.7543647,-122.3974491,37.7924811,5.0130000
