MsgID.STATE,1527348119.8947570,False,False
MsgID.GLOBAL_HOME,1527348119.8963609,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1527348119.8968742,-122.3974500,37.7924799,0.0560000
MsgID.LOCAL_VELOCITY,1527348119.8968742,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527348119.8974690,-0.0002199,-0.0011164,-0.0566375
MsgID.LOCAL_VELOCITY,1527348119.8974690,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527348119.8979499,-122.3974500,37.7924799,0.0620000
MsgID.LOCAL_VELOCITY,1527348119.8979499,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527348119.8986621,-0.0002199,-0.0005895,-0.0620483
MsgID.LOCAL_VELOCITY,1527348119.8986621,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527348119.8988917,-122.3974505,37.7924802,0.0720000
MsgID.LOCAL_VELOCITY,1527348119.8988917,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527348119.8990736,0.0224176,-0.0449596,-0.0727910
MsgID.LOCAL_VELOCITY,1527348119.8990736,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527348119.8992729,-122.3974513,37.7924813,0.0830000
MsgID.LOCAL_VELOCITY,1527348119.8992729,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527348119.8994813,0.1496229,-0.1213863,-0.0839671
MsgID.LOCAL_VELOCITY,1527348119.8994813,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1527348119.9630685,True,True
MsgID.GLOBAL_HOME,1527348123.9632576,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1527348123.9635475,-122.3974489,37.7924804,0.0900000
MsgID.LOCAL_VELOCITY,1527348123.9635475,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527348123.9637468,-0.0104742,0.3934660,-0.0910694
